feature,clinical_domain
BUN_count,Renal
BUN_first,Renal
BUN_last,Renal
BUN_max,Renal
BUN_mean,Renal
BUN_median,Renal
BUN_min,Renal
BUN_missing,Renal
BUN_std,Renal
Creatinine_count,Renal
Creatinine_first,Renal
Creatinine_last,Renal
Creatinine_max,Renal
Creatinine_mean,Renal
Creatinine_median,Renal
Creatinine_min,Renal
Creatinine_missing,Renal
Creatinine_std,Renal
DiasABP_count,Cardiovascular
DiasABP_first,Cardiovascular
DiasABP_last,Cardiovascular
DiasABP_max,Cardiovascular
DiasABP_mean,Cardiovascular
DiasABP_median,Cardiovascular
DiasABP_min,Cardiovascular
DiasABP_missing,Cardiovascular
DiasABP_std,Cardiovascular
FiO2_count,Respiratory
FiO2_first,Respiratory
FiO2_last,Respiratory
FiO2_max,Respiratory
FiO2_mean,Respiratory
FiO2_median,Respiratory
FiO2_min,Respiratory
FiO2_missing,Respiratory
FiO2_std,Respiratory
GCS_count,Neurological
GCS_first,Neurological
GCS_last,Neurological
GCS_max,Neurological
GCS_mean,Neurological
GCS_median,Neurological
GCS_min,Neurological
GCS_missing,Neurological
GCS_std,Neurological
Glucose_count,Metabolic
Glucose_first,Metabolic
Glucose_last,Metabolic
Glucose_max,Metabolic
Glucose_mean,Metabolic
Glucose_median,Metabolic
Glucose_min,Metabolic
Glucose_missing,Metabolic
Glucose_std,Metabolic
HCO3_count,Metabolic
HCO3_first,Metabolic
HCO3_last,Metabolic
HCO3_max,Metabolic
HCO3_mean,Metabolic
HCO3_median,Metabolic
HCO3_min,Metabolic
HCO3_missing,Metabolic
HCO3_std,Metabolic
HCT_count,Hematologic
HCT_first,Hematologic
HCT_last,Hematologic
HCT_max,Hematologic
HCT_mean,Hematologic
HCT_median,Hematologic
HCT_min,Hematologic
HCT_missing,Hematologic
HCT_std,Hematologic
HR_count,Cardiovascular
HR_first,Cardiovascular
HR_last,Cardiovascular
HR_max,Cardiovascular
HR_mean,Cardiovascular
HR_median,Cardiovascular
HR_min,Cardiovascular
HR_missing,Cardiovascular
HR_std,Cardiovascular
K_count,Metabolic
K_first,Metabolic
K_last,Metabolic
K_max,Metabolic
K_mean,Metabolic
K_median,Metabolic
K_min,Metabolic
K_missing,Metabolic
K_std,Metabolic
Lactate_count,Metabolic
Lactate_first,Metabolic
Lactate_last,Metabolic
Lactate_max,Metabolic
Lactate_mean,Metabolic
Lactate_median,Metabolic
Lactate_min,Metabolic
Lactate_missing,Metabolic
MAP_count,Cardiovascular
MAP_first,Cardiovascular
MAP_last,Cardiovascular
MAP_max,Cardiovascular
MAP_mean,Cardiovascular
MAP_median,Cardiovascular
MAP_min,Cardiovascular
MAP_missing,Cardiovascular
MAP_std,Cardiovascular
MechVent_count,Respiratory
MechVent_first,Respiratory
MechVent_last,Respiratory
MechVent_max,Respiratory
MechVent_mean,Respiratory
MechVent_median,Respiratory
MechVent_min,Respiratory
MechVent_missing,Respiratory
MechVent_std,Respiratory
Mg_count,Metabolic
Mg_first,Metabolic
Mg_last,Metabolic
Mg_max,Metabolic
Mg_mean,Metabolic
Mg_median,Metabolic
Mg_min,Metabolic
Mg_missing,Metabolic
Mg_std,Metabolic
NIDiasABP_count,Cardiovascular
NIDiasABP_first,Cardiovascular
NIDiasABP_last,Cardiovascular
NIDiasABP_max,Cardiovascular
NIDiasABP_mean,Cardiovascular
NIDiasABP_median,Cardiovascular
NIDiasABP_min,Cardiovascular
NIDiasABP_missing,Cardiovascular
NIDiasABP_std,Cardiovascular
NIMAP_count,Cardiovascular
NIMAP_first,Cardiovascular
NIMAP_last,Cardiovascular
NIMAP_max,Cardiovascular
NIMAP_mean,Cardiovascular
NIMAP_median,Cardiovascular
NIMAP_min,Cardiovascular
NIMAP_missing,Cardiovascular
NIMAP_std,Cardiovascular
NISysABP_count,Cardiovascular
NISysABP_first,Cardiovascular
NISysABP_last,Cardiovascular
NISysABP_max,Cardiovascular
NISysABP_mean,Cardiovascular
NISysABP_median,Cardiovascular
NISysABP_min,Cardiovascular
NISysABP_missing,Cardiovascular
NISysABP_std,Cardiovascular
Na_count,Metabolic
Na_first,Metabolic
Na_last,Metabolic
Na_max,Metabolic
Na_mean,Metabolic
Na_median,Metabolic
Na_min,Metabolic
Na_missing,Metabolic
Na_std,Metabolic
PaCO2_count,Respiratory
PaCO2_first,Respiratory
PaCO2_last,Respiratory
PaCO2_max,Respiratory
PaCO2_mean,Respiratory
PaCO2_median,Respiratory
PaCO2_min,Respiratory
PaCO2_missing,Respiratory
PaCO2_std,Respiratory
PaO2_count,Respiratory
PaO2_first,Respiratory
PaO2_last,Respiratory
PaO2_max,Respiratory
PaO2_mean,Respiratory
PaO2_median,Respiratory
PaO2_min,Respiratory
PaO2_missing,Respiratory
PaO2_std,Respiratory
Platelets_count,Hematologic
Platelets_first,Hematologic
Platelets_last,Hematologic
Platelets_max,Hematologic
Platelets_mean,Hematologic
Platelets_median,Hematologic
Platelets_min,Hematologic
Platelets_missing,Hematologic
Platelets_std,Hematologic
SysABP_count,Cardiovascular
SysABP_first,Cardiovascular
SysABP_last,Cardiovascular
SysABP_max,Cardiovascular
SysABP_mean,Cardiovascular
SysABP_median,Cardiovascular
SysABP_min,Cardiovascular
SysABP_missing,Cardiovascular
SysABP_std,Cardiovascular
Temp_count,Measurement / missingness
Temp_first,Other
Temp_last,Other
Temp_max,Other
Temp_mean,Other
Temp_median,Other
Temp_min,Other
Temp_missing,Measurement / missingness
Temp_std,Other
Urine_count,Renal
Urine_first,Renal
Urine_last,Renal
Urine_max,Renal
Urine_mean,Renal
Urine_median,Renal
Urine_min,Renal
Urine_missing,Renal
Urine_std,Renal
Urine_total,Renal
WBC_count,Hematologic
WBC_first,Hematologic
WBC_last,Hematologic
WBC_max,Hematologic
WBC_mean,Hematologic
WBC_median,Hematologic
WBC_min,Hematologic
WBC_missing,Hematologic
WBC_std,Hematologic
n_missing_minus1_values,Measurement / missingness
n_rows_total,Measurement / missingness
n_unique_parameters,Measurement / missingness
n_valid_values,Measurement / missingness
pH_count,Metabolic
pH_first,Metabolic
pH_last,Metabolic
pH_max,Metabolic
pH_mean,Metabolic
pH_median,Metabolic
pH_min,Metabolic
pH_missing,Metabolic
pH_std,Metabolic
static_Age,Static / demographic
static_Gender,Static / demographic
static_Height,Static / demographic
static_ICUType,Static / demographic
static_Weight,Static / demographic
