metric,value
n_train_samples,8000
n_test_samples,4000
n_original_train_columns,243
train_mortality_rate,0.14025
test_mortality_rate,0.14625
n_tested_differential_features,243
n_selected_differential_features,91
differential_fdr_threshold,0.05
differential_abs_smd_threshold,0.2
heldout_direction_consistency_selected_features,1.0
n_top30_shared_features,12
n_cox_valid_train_rows,0
n_cox_events_train,0
n_cox_candidate_features,36
n_cox_successful_features,0
n_cox_supported_features_fdr_lt_0_05,0
cox_backend_used,none
