repeat,stress_type,model,rank,feature,is_noise,is_injected_false_signal,domain,importance
1,Gaussian noise,Logistic Regression,1,WBC_mean,False,False,Hematologic,1.4920172502716238
1,Gaussian noise,Logistic Regression,2,pH_median,False,False,Metabolic / acid-base,1.3703772613973466
1,Gaussian noise,Logistic Regression,3,Platelets_min,False,False,Hematologic,1.1762703886839065
1,Gaussian noise,Logistic Regression,4,WBC_max,False,False,Hematologic,1.1213887769519058
1,Gaussian noise,Logistic Regression,5,NIMAP_missing,False,False,Measurement process,1.0858852441157973
1,Gaussian noise,Logistic Regression,6,Creatinine_max,False,False,Renal,1.0013675742107655
1,Gaussian noise,Logistic Regression,7,PaO2_count,False,False,Measurement process,0.9821373558780679
1,Gaussian noise,Logistic Regression,8,Urine_mean,False,False,Renal,0.9682114932348832
1,Gaussian noise,Logistic Regression,9,pH_last,False,False,Metabolic / acid-base,0.9677427740001271
1,Gaussian noise,Logistic Regression,10,DiasABP_mean,False,False,Cardiovascular,0.9328647000353474
1,Gaussian noise,Logistic Regression,11,K_mean,False,False,Other clinical,0.8915456231483019
1,Gaussian noise,Logistic Regression,12,Creatinine_min,False,False,Renal,0.858644214508463
1,Gaussian noise,Logistic Regression,13,Platelets_last,False,False,Hematologic,0.8571640287726351
1,Gaussian noise,Logistic Regression,14,GCS_mean,False,False,Neurological,0.8529428593148176
1,Gaussian noise,Logistic Regression,15,WBC_std,False,False,Hematologic,0.8100998025008721
1,Gaussian noise,Logistic Regression,16,BUN_last,False,False,Renal,0.7931943713931382
1,Gaussian noise,Logistic Regression,17,DiasABP_median,False,False,Cardiovascular,0.7639930727108384
1,Gaussian noise,Logistic Regression,18,NIMAP_median,False,False,Cardiovascular,0.7467551056744002
1,Gaussian noise,Logistic Regression,19,BUN_median,False,False,Renal,0.7424224817164398
1,Gaussian noise,Logistic Regression,20,PaCO2_missing,False,False,Measurement process,0.7393136033963268
1,Gaussian noise,Linear SVM,1,pH_median,False,False,Metabolic / acid-base,1.9214782910623305
1,Gaussian noise,Linear SVM,2,WBC_max,False,False,Hematologic,1.736337245876068
1,Gaussian noise,Linear SVM,3,pH_last,False,False,Metabolic / acid-base,1.5499565508482824
1,Gaussian noise,Linear SVM,4,WBC_mean,False,False,Hematologic,0.86701104020116
1,Gaussian noise,Linear SVM,5,PaO2_count,False,False,Measurement process,0.6240239580745565
1,Gaussian noise,Linear SVM,6,BUN_mean,False,False,Renal,0.6035848980179879
1,Gaussian noise,Linear SVM,7,DiasABP_count,False,False,Measurement process,0.5921519227956525
1,Gaussian noise,Linear SVM,8,Creatinine_max,False,False,Renal,0.5739180053110275
1,Gaussian noise,Linear SVM,9,PaCO2_count,False,False,Measurement process,0.5287430775113074
1,Gaussian noise,Linear SVM,10,NIMAP_missing,False,False,Measurement process,0.5144171032874135
1,Gaussian noise,Linear SVM,11,Platelets_min,False,False,Hematologic,0.5062289540278412
1,Gaussian noise,Linear SVM,12,BUN_median,False,False,Renal,0.47252774971998895
1,Gaussian noise,Linear SVM,13,pH_first,False,False,Metabolic / acid-base,0.470602267466825
1,Gaussian noise,Linear SVM,14,NIDiasABP_count,False,False,Measurement process,0.4459733258150855
1,Gaussian noise,Linear SVM,15,SysABP_count,False,False,Measurement process,0.4362251051537882
1,Gaussian noise,Linear SVM,16,DiasABP_mean,False,False,Cardiovascular,0.4215981073044802
1,Gaussian noise,Linear SVM,17,pH_std,False,False,Metabolic / acid-base,0.39343773760900985
1,Gaussian noise,Linear SVM,18,K_mean,False,False,Other clinical,0.3819048532916429
1,Gaussian noise,Linear SVM,19,Urine_mean,False,False,Renal,0.38140837022400353
1,Gaussian noise,Linear SVM,20,Na_mean,False,False,Other clinical,0.37531902721859367
1,Gaussian noise,XGBoost,1,GCS_last,False,False,Neurological,336.61346435546875
1,Gaussian noise,XGBoost,2,BUN_last,False,False,Renal,184.72251892089844
1,Gaussian noise,XGBoost,3,Urine_total,False,False,Renal,148.139404296875
1,Gaussian noise,XGBoost,4,BUN_min,False,False,Renal,140.50657653808594
1,Gaussian noise,XGBoost,5,BUN_mean,False,False,Renal,116.17168426513672
1,Gaussian noise,XGBoost,6,Platelets_median,False,False,Hematologic,99.070556640625
1,Gaussian noise,XGBoost,7,GCS_median,False,False,Neurological,90.27336883544922
1,Gaussian noise,XGBoost,8,FiO2_missing,False,False,Measurement process,84.58165740966797
1,Gaussian noise,XGBoost,9,PaO2_max,False,False,Respiratory,81.07747650146484
1,Gaussian noise,XGBoost,10,Na_median,False,False,Other clinical,78.7650146484375
1,Gaussian noise,XGBoost,11,Platelets_mean,False,False,Hematologic,77.21765899658203
1,Gaussian noise,XGBoost,12,static_ICUType,False,False,Static / demographic,76.50780487060547
1,Gaussian noise,XGBoost,13,GCS_min,False,False,Neurological,74.25145721435547
1,Gaussian noise,XGBoost,14,Platelets_max,False,False,Hematologic,73.21173095703125
1,Gaussian noise,XGBoost,15,static_Age,False,False,Static / demographic,69.1500473022461
1,Gaussian noise,XGBoost,16,PaO2_mean,False,False,Respiratory,68.7196273803711
1,Gaussian noise,XGBoost,17,BUN_max,False,False,Renal,66.93443298339844
1,Gaussian noise,XGBoost,18,PaCO2_mean,False,False,Respiratory,65.38119506835938
1,Gaussian noise,XGBoost,19,PaO2_first,False,False,Respiratory,61.81682586669922
1,Gaussian noise,XGBoost,20,GCS_std,False,False,Neurological,60.68231964111328
1,Permuted feature,Logistic Regression,1,WBC_mean,False,False,Hematologic,1.3484816095344332
1,Permuted feature,Logistic Regression,2,pH_median,False,False,Metabolic / acid-base,1.3188137690311443
1,Permuted feature,Logistic Regression,3,NIMAP_missing,False,False,Measurement process,1.1351145113358578
1,Permuted feature,Logistic Regression,4,WBC_max,False,False,Hematologic,1.0665389198095212
1,Permuted feature,Logistic Regression,5,PaO2_count,False,False,Measurement process,1.0661213800399396
1,Permuted feature,Logistic Regression,6,Creatinine_max,False,False,Renal,1.0232695653930233
1,Permuted feature,Logistic Regression,7,Platelets_min,False,False,Hematologic,0.9900988095478005
1,Permuted feature,Logistic Regression,8,Urine_mean,False,False,Renal,0.8951159662867898
1,Permuted feature,Logistic Regression,9,GCS_mean,False,False,Neurological,0.8837272575700461
