model,attribute,comparison,group,n,observed_mortality_rate,predicted_high_risk_rate,mean_predicted_risk
XGBoost,Age,>65 vs <=65,<=65,1894,0.10929250263991552,0.1979936642027455,0.28240812741172794
XGBoost,Age,>65 vs <=65,>65,2106,0.1794871794871795,0.3613485280151947,0.40020919620463624
XGBoost,Gender,Female vs Male,Female,1768,0.16119909502262444,0.3037330316742081,0.3691673226511249
XGBoost,Gender,Female vs Male,Male,2228,0.13464991023339318,0.26840215439856374,0.32487285711436364
XGBoost,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,874,0.05263157894736842,0.09153318077803203,0.17223948855123544
XGBoost,ICUType,Other vs Cardiac Surgery Recovery Unit,Other,3126,0.172424824056302,0.3378119001919386,0.3925733357424814
XGBoost,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,602,0.11794019933554817,0.23588039867109634,0.33482567732070767
XGBoost,ICUType,Other vs Coronary Care Unit,Other,3398,0.15126545026486168,0.29252501471453796,0.34613199022298724
XGBoost,ICUType,Other vs Medical ICU,Medical ICU,1376,0.21148255813953487,0.4258720930232558,0.4467832228401676
XGBoost,ICUType,Other vs Medical ICU,Other,2624,0.11204268292682927,0.20960365853658536,0.29075756322283003
XGBoost,ICUType,Other vs Surgical ICU,Other,2852,0.14305750350631136,0.28330995792426367,0.3390168602275303
XGBoost,ICUType,Other vs Surgical ICU,Surgical ICU,1148,0.15418118466898956,0.2857142857142857,0.35787933375946007
