feature,n_survivor,n_nonsurvivor,mean_survivor,mean_nonsurvivor,median_survivor,median_nonsurvivor,mean_difference_nonsurvivor_minus_survivor,standardized_mean_difference,welch_t_statistic,welch_p_value,mannwhitney_u_statistic,mannwhitney_p_value,welch_fdr,mannwhitney_fdr,abs_standardized_mean_difference
GCS_last,6878,1122,12.875793199804539,9.262838878520421,15.0,9.0,-3.6129543212841178,-0.958434019281065,-27.232792689485606,2.598567516954516e-130,1965719.0,6.353421733992741e-180,6.132619340012657e-128,1.499407529222287e-177,0.958434019281065
GCS_median,6878,1122,12.431537203072708,9.51949194803642,14.5,9.0,-2.912045255036288,-0.7801151412209799,-22.50439903243752,1.2423244448108134e-95,2259625.0,8.503568449189007e-122,1.46594284487676e-93,1.0034210770043028e-119,0.7801151412209799
GCS_mean,6878,1122,11.994649067310334,9.464688042706806,12.755952380952383,9.267857142857142,-2.5299610246035282,-0.7376629302379599,-21.161019123703323,4.243689944877273e-86,2372376.5,6.512931527148531e-96,3.338369423303455e-84,3.8426296010176336e-94,0.7376629302379599
GCS_max,6878,1122,13.82974849722198,11.700086465558378,15.0,13.0,-2.1296620316636012,-0.7077541748887906,-19.167046523551292,4.170661803874427e-72,2492826.5,3.346322593848885e-117,2.460690464285912e-70,2.6324404404944564e-115,0.7077541748887906
BUN_last,6878,1122,23.34875775480713,37.25864391903508,18.0,30.0,13.909886164227949,0.618343022832786,17.306076803708343,1.3038118787126968e-60,5315977.0,7.699704963712572e-92,6.1539920675239295e-59,3.634260742872334e-90,0.618343022832786
BUN_mean,6878,1122,23.70605992475934,36.477828938179975,18.0,29.0,12.771769013420634,0.5704491870266521,16.076502764810478,2.8816910832375717e-53,5243845.5,4.2045324000922e-83,1.1334651594067783e-51,1.1025218293575104e-81,0.5704491870266521
BUN_min,6878,1122,20.236735312915602,31.964818534705067,15.0,25.0,11.728083221789465,0.5727155370134831,15.994309702706813,9.692148311238812e-53,5244282.0,3.0672858352655696e-83,3.267638573503371e-51,9.04849321403343e-82,0.5727155370134831
BUN_median,6878,1122,23.637321563788316,36.33437819520979,18.0,28.75,12.697056631421471,0.5631524454507951,15.89486123274115,3.262422180117264e-52,5232989.0,7.321100459318543e-82,9.624145431345929e-51,1.727779708399176e-80,0.5631524454507951
BUN_max,6878,1122,27.28715369979763,41.22367825764362,21.0,34.0,13.936524557845988,0.5598062459134443,15.866333090467645,4.560713830628226e-52,5213755.5,1.1615748769940225e-79,1.195920515586957e-50,2.49210609973263e-78,0.5598062459134443
n_unique_parameters,6878,1122,31.488659494038966,33.68805704099822,32.0,34.0,2.1993975469592506,0.48913999182614426,15.735864680029776,5.604563674217709e-52,4965673.0,4.471342114465077e-54,1.3226770271153793e-50,5.862426327854212e-53,0.48913999182614426
Urine_last,6878,1122,146.24037499515018,88.66573900419526,100.0,55.0,-57.57463599095492,-0.4206462089975607,-15.149801589312213,3.805913209179925e-49,2704288.0,2.452745216290661e-58,8.165413794240567e-48,3.617799194028725e-57,0.4206462089975607
FiO2_count,6878,1122,7.52587961616749,10.889483065953653,7.0,13.0,3.3636034497861633,0.46827917101042993,14.544358703942324,5.970375905392629e-45,4863001.5,4.394489740668682e-46,1.1741739280605503e-43,5.185497893989044e-45,0.46827917101042993
BUN_first,6878,1122,24.211988418897597,35.91926536189003,18.0,27.0,11.70727694299243,0.5000422166262223,14.220561601959362,7.555849104124633e-43,5101113.0,2.77676040285938e-67,1.3716772219795487e-41,4.3687697004987577e-66,0.5000422166262223
MechVent_count,6878,1122,7.181448095376563,10.663992869875223,6.0,13.0,3.4825447744986597,0.46134004299090003,14.001884800482582,6.834282618870192e-42,4826819.5,1.1173523813287555e-43,1.1520647843238323e-40,1.1986143726981196e-42,0.46134004299090003
HCO3_last,6878,1122,24.59703300084017,22.41395212079953,25.0,22.0,-2.1830808800406416,-0.4806341377639555,-13.839518848005921,7.494539894599063e-41,2712784.0,8.963261618869084e-58,1.1791409434169193e-39,1.244311612972414e-56,0.4806341377639555
Na_count,6878,1122,3.282058738005234,4.204099821746881,3.0,4.0,0.9220410837416466,0.465554618970517,13.347054891838951,2.882712899478856e-38,4921840.5,1.154501582834796e-52,4.2520015267313125e-37,1.4340124923632203e-51,0.465554618970517
Glucose_count,6878,1122,3.154114568188427,3.9937611408199643,3.0,3.0,0.8396465726315374,0.4448650820173861,12.809266564071317,1.5035315845232884e-35,4834896.5,1.6193706125705804e-44,2.087255611455859e-34,1.819864116984081e-43,0.4448650820173861
Lactate_missing,6878,1122,0.47564635352201307,0.2896613190730838,0.0,0.0,-0.18598503444892928,-0.389920075380479,-12.545873763952569,1.6737297069324003e-34,3139461.0,2.987077262866178e-31,2.1944456157558136e-33,1.958195094545606e-30,0.389920075380479
Urine_mean,6878,1122,140.40125337030327,95.1477110391853,120.12695434646653,76.37465277777778,-45.25354233111797,-0.4121598420525257,-12.543575233216693,2.3400436022003133e-34,2438051.5,2.7866929139779966e-87,2.906580474311968e-33,9.39513610998296e-86,0.4121598420525257
