from_state,from_label,to_state,to_label,transition_probability
0,Stable,0,Stable,0.5103578154425612
0,Stable,1,Moderate risk,0.275894538606403
0,Stable,2,High risk,0.12052730696798493
0,Stable,3,Critical,0.09322033898305085
1,Moderate risk,0,Stable,0.14342828585707146
1,Moderate risk,1,Moderate risk,0.38780609695152424
1,Moderate risk,2,High risk,0.2978510744627686
1,Moderate risk,3,Critical,0.17091454272863568
2,High risk,0,Stable,0.042937149968886125
2,High risk,1,Moderate risk,0.19601742377100187
2,High risk,2,High risk,0.4343497199751089
2,High risk,3,Critical,0.3266957062850031
3,Critical,0,Stable,0.01846661170651278
3,Critical,1,Moderate risk,0.0628194558944765
3,Critical,2,High risk,0.18746908491343775
3,Critical,3,Critical,0.731244847485573
