feature,coefficient,abs_coefficient
GCS_last,-0.6640620491008054,0.6640620491008054
BUN_last,0.5445235578533112,0.5445235578533112
GCS_mean,-0.4844792546671656,0.4844792546671656
static_Age,0.4041870883642083,0.4041870883642083
Urine_count,-0.30525675852606793,0.30525675852606793
Urine_mean,-0.2842193907242053,0.2842193907242053
n_unique_parameters,0.2699517191285167,0.2699517191285167
Lactate_last,0.25151346036433175,0.25151346036433175
HCO3_last,-0.24017915955017957,0.24017915955017957
GCS_min,0.2399394639209455,0.2399394639209455
GCS_std,-0.2174648332752785,0.2174648332752785
WBC_missing,-0.21678275316715023,0.21678275316715023
Na_last,0.21487872964624205,0.21487872964624205
NIDiasABP_mean,-0.21170064864215102,0.21170064864215102
n_rows_total,-0.2041869204409425,0.2041869204409425
HR_count,0.19681700072923544,0.19681700072923544
PaO2_median,-0.19178513836605218,0.19178513836605218
HCT_count,-0.18314483013506852,0.18314483013506852
Temp_mean,-0.1831129764068646,0.1831129764068646
PaCO2_missing,-0.18242590713033224,0.18242590713033224
Creatinine_median,-0.18120108129130888,0.18120108129130888
Urine_total,0.17967934662662294,0.17967934662662294
HCT_last,0.1777767291520003,0.1777767291520003
Temp_median,-0.17215700298192999,0.17215700298192999
Na_count,0.1686744893372497,0.1686744893372497
FiO2_std,-0.1679268576807581,0.1679268576807581
Na_first,-0.16628373462004134,0.16628373462004134
PaO2_std,-0.16290062178382797,0.16290062178382797
HR_mean,0.16281479747572428,0.16281479747572428
PaO2_max,0.15461470283594547,0.15461470283594547
n_valid_values,-0.153223182214405,0.153223182214405
HCT_max,-0.1512144014174912,0.1512144014174912
static_Weight,-0.1511288874746317,0.1511288874746317
GCS_first,0.15050212939436064,0.15050212939436064
BUN_std,-0.14777896003574634,0.14777896003574634
GCS_count,0.1461783123318744,0.1461783123318744
MAP_missing,0.14343855365232555,0.14343855365232555
pH_count,-0.13642674198842344,0.13642674198842344
NIMAP_first,0.13510498504750887,0.13510498504750887
WBC_last,0.13396429943128677,0.13396429943128677
Urine_std,-0.1315338630964077,0.1315338630964077
NIMAP_median,0.13070736607901065,0.13070736607901065
HCO3_first,0.12228232959611672,0.12228232959611672
HR_max,0.1199856235972802,0.1199856235972802
HCT_median,-0.11910946664194541,0.11910946664194541
Temp_min,0.11858491247403069,0.11858491247403069
static_ICUType,0.11234279244214983,0.11234279244214983
Urine_last,-0.11160977076203829,0.11160977076203829
FiO2_max,0.10846116324161238,0.10846116324161238
NISysABP_first,-0.10689211974053499,0.10689211974053499
Platelets_first,-0.1062026066640502,0.1062026066640502
Glucose_last,0.10066021914738829,0.10066021914738829
Creatinine_count,-0.09379437723530971,0.09379437723530971
WBC_first,-0.09212555486374302,0.09212555486374302
K_missing,0.08974317367060912,0.08974317367060912
FiO2_mean,0.08458395239571527,0.08458395239571527
Creatinine_last,-0.08315901244722697,0.08315901244722697
Urine_min,-0.07828022351327,0.07828022351327
Temp_max,0.07769713999739286,0.07769713999739286
Urine_missing,0.07538692511517295,0.07538692511517295
HCO3_min,0.07402277747794193,0.07402277747794193
FiO2_missing,-0.07326224336554008,0.07326224336554008
Mg_first,0.07259067286633543,0.07259067286633543
HR_last,0.06881200451488033,0.06881200451488033
Temp_count,-0.06738972687794041,0.06738972687794041
PaCO2_std,0.06329992580938114,0.06329992580938114
static_Gender,0.06319297215945133,0.06319297215945133
Glucose_count,0.06276976419932057,0.06276976419932057
Na_median,-0.06134634350681838,0.06134634350681838
MAP_last,-0.05887250362652591,0.05887250362652591
K_count,0.05791089920705676,0.05791089920705676
NIMAP_last,-0.057841649697445,0.057841649697445
Mg_last,0.05546052160329157,0.05546052160329157
Platelets_std,0.05374237855415524,0.05374237855415524
Lactate_first,0.052909016099330484,0.052909016099330484
NIMAP_max,-0.052861121762088285,0.052861121762088285
PaCO2_last,0.05268448635064044,0.05268448635064044
DiasABP_first,0.05152681980888442,0.05152681980888442
