model,recall,precision,threshold,baseline_death_rate
mlp,1.0,0.14625,0.002702132100239396,0.14625
mlp,1.0,0.14628657164291073,0.002839992754161358,0.14625
mlp,1.0,0.1463231615807904,0.00289694732055068,0.14625
mlp,1.0,0.14635976982737053,0.002932086819782853,0.14625
mlp,1.0,0.1463963963963964,0.002933595795184374,0.14625
mlp,1.0,0.14643304130162704,0.00300889415666461,0.14625
mlp,1.0,0.14646970455683525,0.003157064551487565,0.14625
mlp,1.0,0.14650638617580766,0.003298478899523616,0.14625
mlp,1.0,0.14654308617234468,0.003316272282972932,0.14625
mlp,1.0,0.1465798045602606,0.0033316523768007755,0.14625
mlp,1.0,0.14661654135338345,0.0033391499891877174,0.14625
mlp,1.0,0.14665329656555529,0.003345961682498455,0.14625
mlp,1.0,0.1466900702106319,0.003358632093295455,0.14625
mlp,1.0,0.14672686230248308,0.0033680093474686146,0.14625
mlp,1.0,0.14676367285499248,0.0033979685977101326,0.14625
mlp,1.0,0.1468005018820577,0.003432251513004303,0.14625
mlp,1.0,0.14683734939759036,0.003434372367337346,0.14625
mlp,1.0,0.14687421541551593,0.0034521601628512144,0.14625
mlp,1.0,0.14691109994977397,0.0034571026917546988,0.14625
mlp,1.0,0.146948003014318,0.0034588773269206285,0.14625
mlp,1.0,0.14698492462311558,0.003464279230684042,0.14625
mlp,1.0,0.14702186479014828,0.00346866762265563,0.14625
mlp,1.0,0.14705882352941177,0.003529418958351016,0.14625
mlp,1.0,0.14709580085491578,0.0035433131270110607,0.14625
mlp,1.0,0.1471327967806841,0.003564012236893177,0.14625
mlp,1.0,0.1471698113207547,0.003565943567082286,0.14625
mlp,1.0,0.14720684448917967,0.003570368280634284,0.14625
mlp,1.0,0.14724389630002516,0.0035759250167757273,0.14625
mlp,1.0,0.1472809667673716,0.0036191295366734266,0.14625
mlp,1.0,0.14731805590531352,0.003629906103014946,0.14625
mlp,1.0,0.1473551637279597,0.0036306409165263176,0.14625
mlp,1.0,0.1473922902494331,0.003644473385065794,0.14625
mlp,1.0,0.14742943548387097,0.0036492347717285156,0.14625
mlp,1.0,0.14746659944542476,0.0036602290347218513,0.14625
mlp,1.0,0.1475037821482602,0.003661439288407564,0.14625
mlp,1.0,0.14754098360655737,0.003672505496069789,0.14625
mlp,1.0,0.1475782038345106,0.003691372461616993,0.14625
mlp,1.0,0.14761544284632855,0.003706583520397544,0.14625
mlp,1.0,0.14765270065623423,0.0037457230500876904,0.14625
mlp,1.0,0.14768997727846503,0.0037482865154743195,0.14625
mlp,1.0,0.14772727272727273,0.0037603406235575676,0.14625
mlp,1.0,0.14776458701692347,0.0037632642779499292,0.14625
mlp,1.0,0.14780192016169783,0.0037682356778532267,0.14625
mlp,1.0,0.14783927217589082,0.003838304430246353,0.14625
mlp,1.0,0.14787664307381193,0.0038579541724175215,0.14625
mlp,1.0,0.14791403286978508,0.003881462849676609,0.14625
mlp,1.0,0.1479514415781487,0.0038874924648553133,0.14625
mlp,1.0,0.14798886921325574,0.0038891031872481108,0.14625
mlp,1.0,0.14802631578947367,0.0038910359144210815,0.14625
mlp,1.0,0.1480637813211845,0.0038916089106351137,0.14625
mlp,1.0,0.14810126582278482,0.0038924445398151875,0.14625
mlp,1.0,0.14813876930868575,0.003901905147358775,0.14625
mlp,1.0,0.14817629179331307,0.00392605597153306,0.14625
mlp,1.0,0.14821383329110718,0.003942248411476612,0.14625
mlp,1.0,0.14825139381652305,0.003984246868640184,0.14625
mlp,1.0,0.1482889733840304,0.003999580629169941,0.14625
mlp,1.0,0.14832657200811358,0.004000816028565168,0.14625
mlp,1.0,0.14836418970327162,0.004003828391432762,0.14625
mlp,1.0,0.14840182648401826,0.004005800932645798,0.14625
mlp,1.0,0.148439482364882,0.004019216634333134,0.14625
mlp,1.0,0.1484771573604061,0.004038133192807436,0.14625
mlp,1.0,0.1485148514851485,0.00404364662244916,0.14625
mlp,1.0,0.14855256475368206,0.004063648171722889,0.14625
mlp,1.0,0.14859029718059436,0.0040706442669034,0.14625
mlp,1.0,0.1486280487804878,0.004081015009433031,0.14625
mlp,1.0,0.14866581956797967,0.0041390773840248585,0.14625
mlp,1.0,0.1487036095577021,0.00416315533220768,0.14625
mlp,1.0,0.14874141876430205,0.004207852762192488,0.14625
mlp,1.0,0.1487792472024415,0.004221961833536625,0.14625
mlp,1.0,0.14881709488679726,0.004229399841278791,0.14625
mlp,1.0,0.14885496183206107,0.00423544691875577,0.14625
mlp,1.0,0.14889284805293967,0.00424988055601716,0.14625
mlp,1.0,0.14893075356415478,0.004252692684531212,0.14625
mlp,1.0,0.1489686783804431,0.004258634988218546,0.14625
mlp,1.0,0.1490066225165563,0.004267680924385786,0.14625
mlp,1.0,0.14904458598726114,0.004271824844181538,0.14625
mlp,1.0,0.14908256880733944,0.004278029780834913,0.14625
mlp,1.0,0.14912057099158807,0.004279043525457382,0.14625
mlp,1.0,0.14915859255481898,0.004280092194676399,0.14625
mlp,1.0,0.14919663351185922,0.0042860605753958225,0.14625
mlp,1.0,0.14923469387755103,0.004288187716156244,0.14625
mlp,1.0,0.14927277366675173,0.004315079189836979,0.14625
mlp,1.0,0.14931087289433384,0.004315482918173075,0.14625
mlp,1.0,0.14934899157518508,0.004331349860876799,0.14625
mlp,1.0,0.14938712972420837,0.004337754100561142,0.14625
mlp,1.0,0.14942528735632185,0.0043392907828092575,0.14625
mlp,1.0,0.14946346448645886,0.004340423736721277,0.14625
mlp,1.0,0.14950166112956811,0.00435450067743659,0.14625
mlp,1.0,0.1495398773006135,0.004367985762655735,0.14625
mlp,1.0,0.14957811301457427,0.004375709220767021,0.14625
mlp,1.0,0.149616368286445,0.0043800463899970055,0.14625
mlp,1.0,0.1496546431312356,0.004386674612760544,0.14625
mlp,1.0,0.14969293756397134,0.00438970560207963,0.14625
mlp,1.0,0.14973125159969286,0.004390105605125427,0.14625
mlp,1.0,0.1497695852534562,0.004393861163407564,0.14625
mlp,1.0,0.14980793854033292,0.0043950751423835754,0.14625
mlp,1.0,0.14984631147540983,0.004407043103128672,0.14625
mlp,1.0,0.1498847040737894,0.0044102598913013935,0.14625
mlp,1.0,0.14992311635058944,0.004416176583617926,0.14625
mlp,1.0,0.14996154832094336,0.004431223496794701,0.14625
mlp,1.0,0.15,0.004432704299688339,0.14625
mlp,1.0,0.15003847140292384,0.004433741793036461,0.14625
mlp,1.0,0.1500769625448948,0.004446437116712332,0.14625
mlp,1.0,0.15011547344110854,0.004456513095647097,0.14625
mlp,1.0,0.15015400410677618,0.00445918133482337,0.14625
mlp,1.0,0.15019255455712452,0.004504350014030933,0.14625
mlp,1.0,0.150231124807396,0.004505160264670849,0.14625
mlp,1.0,0.1502697148728487,0.004510319326072931,0.14625
mlp,1.0,0.1503083247687564,0.004517454653978348,0.14625
mlp,1.0,0.15034695451040864,0.004526439588516951,0.14625
mlp,1.0,0.15038560411311053,0.004529246594756842,0.14625
mlp,1.0,0.15042427359218308,0.004536482505500317,0.14625
mlp,1.0,0.15046296296296297,0.00455505633726716,0.14625
mlp,1.0,0.1505016722408027,0.004566254559904337,0.14625
mlp,1.0,0.1505404014410705,0.0045688822865486145,0.14625
mlp,1.0,0.15057915057915058,0.0045869131572544575,0.14625
mlp,1.0,0.15061791967044283,0.004590293392539024,0.14625
mlp,1.0,0.15065670873036313,0.004608985967934132,0.14625
mlp,1.0,0.15069551777434312,0.0046120453625917435,0.14625
mlp,1.0,0.15073434681783046,0.004639538004994392,0.14625
mlp,1.0,0.15077319587628865,0.0046455091796815395,0.14625
mlp,1.0,0.15081206496519722,0.004648254718631506,0.14625
mlp,1.0,0.15085095410005156,0.004657058976590633,0.14625
mlp,1.0,0.15088986329636317,0.004658971447497606,0.14625
mlp,1.0,0.15092879256965944,0.004665901884436607,0.14625
mlp,1.0,0.15096774193548387,0.004670317750424147,0.14625
mlp,1.0,0.15100671140939598,0.004675911273807287,0.14625
mlp,1.0,0.15104570100697134,0.004680152051150799,0.14625
mlp,1.0,0.15108471074380164,0.0046922508627176285,0.14625
mlp,1.0,0.1511237406354947,0.004714539274573326,0.14625
