model,fpr,tpr,threshold
mlp,0.0,0.0,inf
mlp,0.0,0.0017094017094017094,0.9174249
mlp,0.0,0.011965811965811967,0.9014033
mlp,0.00029282576866764275,0.011965811965811967,0.89953446
mlp,0.00029282576866764275,0.015384615384615385,0.89800674
mlp,0.0005856515373352855,0.015384615384615385,0.8975327
mlp,0.0005856515373352855,0.020512820512820513,0.89155585
mlp,0.0008784773060029283,0.020512820512820513,0.8880388
mlp,0.0008784773060029283,0.022222222222222223,0.88505024
mlp,0.001171303074670571,0.022222222222222223,0.8821645
mlp,0.001171303074670571,0.03076923076923077,0.87260497
mlp,0.0014641288433382138,0.03076923076923077,0.87236995
mlp,0.0014641288433382138,0.044444444444444446,0.84300804
mlp,0.0017569546120058566,0.044444444444444446,0.8380757
mlp,0.0017569546120058566,0.05299145299145299,0.812607
mlp,0.0020497803806734994,0.05299145299145299,0.8116882
mlp,0.0020497803806734994,0.0547008547008547,0.81097
mlp,0.002342606149341142,0.0547008547008547,0.8101375
mlp,0.002342606149341142,0.05811965811965812,0.8063702
mlp,0.0026354319180087846,0.05811965811965812,0.80587065
mlp,0.0026354319180087846,0.07521367521367521,0.79757565
mlp,0.00322108345534407,0.07521367521367521,0.7940601
mlp,0.00322108345534407,0.07692307692307693,0.79131585
mlp,0.003513909224011713,0.07692307692307693,0.7869898
mlp,0.003513909224011713,0.09401709401709402,0.7746286
mlp,0.003806734992679356,0.09401709401709402,0.7736222
mlp,0.003806734992679356,0.09914529914529914,0.7699306
mlp,0.004099560761346999,0.09914529914529914,0.7618958
mlp,0.004099560761346999,0.10085470085470086,0.7618411
mlp,0.004392386530014641,0.10085470085470086,0.7611627
mlp,0.004392386530014641,0.11623931623931624,0.7527398
mlp,0.004685212298682284,0.11623931623931624,0.7509642
mlp,0.004685212298682284,0.1282051282051282,0.74755955
mlp,0.004978038067349927,0.1282051282051282,0.74709576
mlp,0.004978038067349927,0.13675213675213677,0.74310267
mlp,0.006149341142020498,0.13675213675213677,0.7382444
mlp,0.006149341142020498,0.13846153846153847,0.73794776
mlp,0.00644216691068814,0.13846153846153847,0.7370513
mlp,0.00644216691068814,0.14017094017094017,0.7366725
mlp,0.007613469985358712,0.14017094017094017,0.7336565
mlp,0.007613469985358712,0.15555555555555556,0.7223859
mlp,0.007906295754026354,0.15555555555555556,0.7220092
mlp,0.007906295754026354,0.15897435897435896,0.72065693
mlp,0.008784773060029283,0.15897435897435896,0.7184686
mlp,0.008784773060029283,0.1675213675213675,0.7147061
mlp,0.009077598828696925,0.1675213675213675,0.711863
mlp,0.009077598828696925,0.17094017094017094,0.7108879
mlp,0.010541727672035138,0.17094017094017094,0.7082201
mlp,0.010541727672035138,0.18974358974358974,0.6984816
mlp,0.010834553440702782,0.18974358974358974,0.698346
mlp,0.010834553440702782,0.19145299145299147,0.6978456
mlp,0.01171303074670571,0.19145299145299147,0.69694513
mlp,0.01171303074670571,0.19658119658119658,0.69470954
mlp,0.012005856515373352,0.19658119658119658,0.6943495
mlp,0.012005856515373352,0.20341880341880342,0.6882889
mlp,0.012298682284040996,0.20341880341880342,0.6872858
mlp,0.012298682284040996,0.20512820512820512,0.6854436
mlp,0.013177159590043924,0.20512820512820512,0.6767853
mlp,0.013177159590043924,0.20683760683760682,0.67659765
mlp,0.01376281112737921,0.20683760683760682,0.67550683
mlp,0.01376281112737921,0.2170940170940171,0.6705268
mlp,0.014055636896046853,0.2170940170940171,0.67010313
mlp,0.014055636896046853,0.2188034188034188,0.6695351
mlp,0.014348462664714495,0.2188034188034188,0.66935515
mlp,0.014348462664714495,0.2222222222222222,0.66610235
mlp,0.014641288433382138,0.2222222222222222,0.6660937
mlp,0.014641288433382138,0.22564102564102564,0.6654764
mlp,0.01493411420204978,0.22564102564102564,0.6653925
mlp,0.01493411420204978,0.23076923076923078,0.6633342
mlp,0.015226939970717423,0.23076923076923078,0.6622484
mlp,0.015226939970717423,0.23247863247863249,0.6621066
mlp,0.016398243045387995,0.23247863247863249,0.6549055
mlp,0.016398243045387995,0.2341880341880342,0.65202683
mlp,0.016691068814055635,0.2341880341880342,0.6507624
mlp,0.016691068814055635,0.2358974358974359,0.65004283
mlp,0.01698389458272328,0.2358974358974359,0.64700085
mlp,0.01698389458272328,0.24444444444444444,0.6438159
mlp,0.017569546120058566,0.24444444444444444,0.64348733
mlp,0.017569546120058566,0.24615384615384617,0.6425233
mlp,0.01786237188872621,0.24615384615384617,0.6422888
mlp,0.01786237188872621,0.24786324786324787,0.6414689
mlp,0.018448023426061493,0.24786324786324787,0.6406516
mlp,0.018448023426061493,0.24957264957264957,0.6400552
mlp,0.018740849194729136,0.24957264957264957,0.63938427
mlp,0.018740849194729136,0.2512820512820513,0.6364578
mlp,0.019326500732064423,0.2512820512820513,0.6342798
mlp,0.019326500732064423,0.2547008547008547,0.631175
mlp,0.02020497803806735,0.2547008547008547,0.62932557
mlp,0.02020497803806735,0.25811965811965815,0.62740993
mlp,0.021669106881405564,0.25811965811965815,0.6180888
mlp,0.021669106881405564,0.25982905982905985,0.61738586
mlp,0.022840409956076134,0.25982905982905985,0.61507744
mlp,0.022840409956076134,0.26153846153846155,0.61488736
mlp,0.023133235724743777,0.26153846153846155,0.6146627
mlp,0.023133235724743777,0.26324786324786326,0.61434716
mlp,0.02342606149341142,0.26324786324786326,0.6131302
mlp,0.02342606149341142,0.27008547008547007,0.61099213
mlp,0.023718887262079064,0.27008547008547007,0.6086855
mlp,0.023718887262079064,0.2717948717948718,0.6082148
mlp,0.024011713030746704,0.2717948717948718,0.60814345
mlp,0.024011713030746704,0.27350427350427353,0.60676384
mlp,0.024890190336749635,0.27350427350427353,0.60363615
mlp,0.024890190336749635,0.27692307692307694,0.60075945
mlp,0.025183016105417278,0.27692307692307694,0.5992837
mlp,0.025183016105417278,0.28034188034188035,0.5990596
mlp,0.025475841874084918,0.28034188034188035,0.59785026
mlp,0.025475841874084918,0.28376068376068375,0.5933315
mlp,0.026061493411420205,0.28376068376068375,0.5916205
mlp,0.026061493411420205,0.28717948717948716,0.58847624
mlp,0.02635431918008785,0.28717948717948716,0.58833945
mlp,0.02635431918008785,0.28888888888888886,0.5872223
mlp,0.026939970717423132,0.28888888888888886,0.5864243
mlp,0.026939970717423132,0.2905982905982906,0.586123
mlp,0.027232796486090775,0.2905982905982906,0.5852269
mlp,0.027232796486090775,0.29572649572649573,0.5836102
mlp,0.02752562225475842,0.29572649572649573,0.5825323
mlp,0.02752562225475842,0.305982905982906,0.57629687
mlp,0.028404099560761346,0.305982905982906,0.5730725
mlp,0.028404099560761346,0.3111111111111111,0.5720226
mlp,0.02957540263543192,0.3111111111111111,0.5707675
mlp,0.02957540263543192,0.3162393162393162,0.56438357
mlp,0.030161054172767203,0.3162393162393162,0.56157964
mlp,0.030161054172767203,0.31965811965811963,0.5601763
mlp,0.03074670571010249,0.31965811965811963,0.5590564
mlp,0.03074670571010249,0.3230769230769231,0.55787057
mlp,0.031039531478770133,0.3230769230769231,0.55717134
mlp,0.031039531478770133,0.3264957264957265,0.55575824
mlp,0.03191800878477306,0.3264957264957265,0.55332834
mlp,0.03191800878477306,0.3299145299145299,0.55042607
mlp,0.03308931185944363,0.3299145299145299,0.54819024
mlp,0.03308931185944363,0.3316239316239316,0.54808277
mlp,0.03396778916544656,0.3316239316239316,0.5453271
mlp,0.03396778916544656,0.3384615384615385,0.54422724
mlp,0.03601756954612006,0.3384615384615385,0.53825027
mlp,0.03601756954612006,0.3401709401709402,0.5380672
mlp,0.0363103953147877,0.3401709401709402,0.5377642
mlp,0.0363103953147877,0.3418803418803419,0.5377453
mlp,0.03748169838945827,0.3418803418803419,0.5336635
mlp,0.03748169838945827,0.3435897435897436,0.532978
mlp,0.0383601756954612,0.3435897435897436,0.530934
mlp,0.0383601756954612,0.347008547008547,0.52977145
mlp,0.038653001464128846,0.347008547008547,0.52898306
mlp,0.038653001464128846,0.35555555555555557,0.52355134
mlp,0.038945827232796486,0.35555555555555557,0.52352124
mlp,0.038945827232796486,0.358974358974359,0.5215406
mlp,0.03953147877013177,0.358974358974359,0.5167727
mlp,0.03953147877013177,0.3623931623931624,0.51578856
mlp,0.0404099560761347,0.3623931623931624,0.5132086
mlp,0.0404099560761347,0.3641025641025641,0.5131389
mlp,0.04070278184480234,0.3641025641025641,0.51203895
mlp,0.04070278184480234,0.37606837606837606,0.5077366
mlp,0.04158125915080527,0.37606837606837606,0.5058884
mlp,0.04158125915080527,0.37777777777777777,0.505604
mlp,0.04187408491947291,0.37777777777777777,0.5036656
mlp,0.04187408491947291,0.3811965811965812,0.5031465
mlp,0.04333821376281113,0.3811965811965812,0.4999043
mlp,0.04333821376281113,0.38290598290598293,0.49983805
mlp,0.04509516837481698,0.38290598290598293,0.49747297
mlp,0.04509516837481698,0.38632478632478634,0.49619693
mlp,0.04568081991215227,0.38632478632478634,0.492255
mlp,0.04568081991215227,0.38803418803418804,0.49116355
mlp,0.045973645680819915,0.38803418803418804,0.49012557
mlp,0.045973645680819915,0.39316239316239315,0.48883188
mlp,0.04743777452415813,0.39316239316239315,0.48519206
mlp,0.04743777452415813,0.39658119658119656,0.48380658
mlp,0.04773060029282577,0.39658119658119656,0.48379707
mlp,0.04773060029282577,0.39829059829059826,0.48317572
mlp,0.048316251830161056,0.39829059829059826,0.4822092
mlp,0.048316251830161056,0.4,0.48162344
mlp,0.04890190336749634,0.4,0.47971264
mlp,0.04890190336749634,0.40341880341880343,0.47780257
mlp,0.04919472913616398,0.40341880341880343,0.4767816
mlp,0.04919472913616398,0.40512820512820513,0.47544193
