model,bin_id,mean_predicted_probability,observed_event_rate
xgboost_auc_optimized,0,0.006959566706209444,0.005
xgboost_auc_optimized,1,0.012032056795433163,0.0075
xgboost_auc_optimized,2,0.018120061585213988,0.005
xgboost_auc_optimized,3,0.027605276694521307,0.02
xgboost_auc_optimized,4,0.04199714177288115,0.055
xgboost_auc_optimized,5,0.06454255579970777,0.0725
xgboost_auc_optimized,6,0.10016874853521586,0.13
xgboost_auc_optimized,7,0.16933772664517163,0.205
xgboost_auc_optimized,8,0.30319791842252014,0.3475
xgboost_auc_optimized,9,0.6028573301434517,0.615
