model,feature,xgb_feature_importance
xgboost_auc_optimized,GCS_last,0.04611026
xgboost_auc_optimized,BUN_last,0.017996414
xgboost_auc_optimized,BUN_median,0.015856978
xgboost_auc_optimized,Urine_total,0.014538783
xgboost_auc_optimized,BUN_min,0.014086737
xgboost_auc_optimized,GCS_max,0.0125835445
xgboost_auc_optimized,BUN_mean,0.0113206925
xgboost_auc_optimized,Creatinine_median,0.010192884
xgboost_auc_optimized,static_Age,0.008915722
xgboost_auc_optimized,Urine_median,0.008581731
xgboost_auc_optimized,Lactate_last,0.007995414
xgboost_auc_optimized,Platelets_mean,0.00796493
xgboost_auc_optimized,static_ICUType,0.0079236375
xgboost_auc_optimized,Urine_mean,0.007896536
xgboost_auc_optimized,DiasABP_min,0.007716659
xgboost_auc_optimized,Urine_std,0.007255057
xgboost_auc_optimized,HCO3_median,0.0071043395
xgboost_auc_optimized,Lactate_min,0.006855235
xgboost_auc_optimized,GCS_mean,0.0068198913
xgboost_auc_optimized,PaO2_first,0.0067676282
xgboost_auc_optimized,GCS_median,0.006756934
xgboost_auc_optimized,HR_mean,0.006734416
xgboost_auc_optimized,Glucose_median,0.0067188055
xgboost_auc_optimized,Temp_median,0.006556897
xgboost_auc_optimized,PaCO2_mean,0.0064806044
xgboost_auc_optimized,Na_max,0.0064149806
xgboost_auc_optimized,GCS_std,0.006255499
xgboost_auc_optimized,FiO2_last,0.0062370384
xgboost_auc_optimized,Na_median,0.0062342593
xgboost_auc_optimized,PaO2_median,0.0061100083
xgboost_auc_optimized,PaO2_max,0.0060586086
xgboost_auc_optimized,NISysABP_last,0.006019138
xgboost_auc_optimized,Temp_mean,0.005853959
xgboost_auc_optimized,HCO3_last,0.0057893116
xgboost_auc_optimized,Platelets_median,0.005774512
xgboost_auc_optimized,FiO2_mean,0.0057672868
xgboost_auc_optimized,static_Weight,0.005675143
xgboost_auc_optimized,PaCO2_median,0.0056508216
xgboost_auc_optimized,Glucose_last,0.005620897
xgboost_auc_optimized,Temp_last,0.005610126
xgboost_auc_optimized,FiO2_median,0.0055936775
xgboost_auc_optimized,HCO3_mean,0.005529
xgboost_auc_optimized,GCS_count,0.005479719
xgboost_auc_optimized,pH_median,0.0054334244
xgboost_auc_optimized,NISysABP_first,0.0054239845
xgboost_auc_optimized,HCO3_first,0.005314563
xgboost_auc_optimized,SysABP_median,0.0053089694
xgboost_auc_optimized,HCT_count,0.0052415007
xgboost_auc_optimized,PaCO2_last,0.0052327723
xgboost_auc_optimized,Urine_count,0.0052315076
