model,bin_id,mean_predicted_probability,observed_event_rate
logistic_regression,0,0.0268244415612193,0.0075
logistic_regression,1,0.058743838963079,0.0025
logistic_regression,2,0.0980766599668336,0.01
logistic_regression,3,0.1501739532749745,0.0225
logistic_regression,4,0.2172804585051994,0.05
logistic_regression,5,0.3097678734580742,0.09
logistic_regression,6,0.4278675840339943,0.1625
logistic_regression,7,0.5661701414276518,0.2075
logistic_regression,8,0.7393190072428859,0.32
logistic_regression,9,0.9083511405531832,0.59
xgboost_auc_optimized,0,0.0069595667062094,0.005
xgboost_auc_optimized,1,0.0120320567954331,0.0075
xgboost_auc_optimized,2,0.0181200615852139,0.005
xgboost_auc_optimized,3,0.0276052766945213,0.02
xgboost_auc_optimized,4,0.0419971417728811,0.055
xgboost_auc_optimized,5,0.0645425557997077,0.0725
xgboost_auc_optimized,6,0.1001687485352158,0.13
xgboost_auc_optimized,7,0.1693377266451716,0.205
xgboost_auc_optimized,8,0.3031979184225201,0.3475
xgboost_auc_optimized,9,0.6028573301434517,0.615
mlp,0,0.0053143111756071,0.0025
mlp,1,0.0091150776075664,0.01
mlp,2,0.0142142301052808,0.0175
mlp,3,0.0222293940465897,0.025
mlp,4,0.0358780104899778,0.0375
mlp,5,0.0629397796653211,0.08
mlp,6,0.1093901668488979,0.125
mlp,7,0.1971841676533222,0.2375
mlp,8,0.3657490619271993,0.3425
mlp,9,0.6544113612920046,0.585
