model_a,model_b,feature,rank_a,rank_b,mean_rank
logistic_regression,xgboost_auc_optimized,GCS_last,1,1,1.0
logistic_regression,xgboost_auc_optimized,BUN_last,2,2,2.0
logistic_regression,xgboost_auc_optimized,static_Age,4,9,6.5
logistic_regression,xgboost_auc_optimized,Lactate_last,8,11,9.5
logistic_regression,xgboost_auc_optimized,Urine_mean,6,14,10.0
logistic_regression,xgboost_auc_optimized,GCS_mean,3,19,11.0
logistic_regression,xgboost_auc_optimized,Urine_total,22,4,13.0
logistic_regression,xgboost_auc_optimized,Creatinine_median,21,8,14.5
logistic_regression,xgboost_auc_optimized,GCS_std,11,27,19.0
logistic_regression,xgboost_auc_optimized,PaO2_median,17,30,23.5
logistic_regression,xgboost_auc_optimized,Temp_median,24,24,24.0
logistic_regression,xgboost_auc_optimized,HR_mean,29,22,25.5
