feature,clinical_domain,split,n_survivors,n_deaths,survivor_mean,death_mean,survivor_median,death_median,smd_death_minus_survivor,t_stat,p_value,fdr_bh,abs_smd,direction,differential_supported
GCS_last,Neurological,train,6878,1122,12.875793199804539,9.262838878520421,15.0,9.0,-0.958434019281065,-27.232792689485606,2.598567516954516e-130,6.132619340012657e-128,0.958434019281065,higher_in_survivors,True
GCS_median,Neurological,train,6878,1122,12.431537203072708,9.51949194803642,14.5,9.0,-0.7801151412209799,-22.50439903243752,1.2423244448108134e-95,1.46594284487676e-93,0.7801151412209799,higher_in_survivors,True
GCS_mean,Neurological,train,6878,1122,11.994649067310334,9.464688042706806,12.755952380952383,9.267857142857142,-0.7376629302379599,-21.161019123703323,4.243689944877273e-86,3.338369423303455e-84,0.7376629302379599,higher_in_survivors,True
GCS_max,Neurological,train,6878,1122,13.82974849722198,11.700086465558378,15.0,13.0,-0.7077541748887906,-19.167046523551292,4.170661803874427e-72,2.460690464285912e-70,0.7077541748887906,higher_in_survivors,True
BUN_last,Renal,train,6878,1122,23.34875775480713,37.25864391903508,18.0,30.0,0.618343022832786,17.306076803708343,1.3038118787126968e-60,6.1539920675239295e-59,0.618343022832786,higher_in_deaths,True
BUN_mean,Renal,train,6878,1122,23.70605992475934,36.477828938179975,18.0,29.0,0.5704491870266521,16.076502764810478,2.8816910832375717e-53,1.1334651594067783e-51,0.5704491870266521,higher_in_deaths,True
BUN_min,Renal,train,6878,1122,20.236735312915602,31.964818534705067,15.0,25.0,0.5727155370134831,15.994309702706813,9.692148311238812e-53,3.267638573503371e-51,0.5727155370134831,higher_in_deaths,True
BUN_median,Renal,train,6878,1122,23.637321563788316,36.33437819520979,18.0,28.75,0.5631524454507951,15.89486123274115,3.262422180117264e-52,9.624145431345929e-51,0.5631524454507951,higher_in_deaths,True
BUN_max,Renal,train,6878,1122,27.28715369979763,41.22367825764362,21.0,34.0,0.5598062459134443,15.866333090467645,4.560713830628226e-52,1.195920515586957e-50,0.5598062459134443,higher_in_deaths,True
n_unique_parameters,Measurement / missingness,train,6878,1122,31.488659494038966,33.68805704099822,32.0,34.0,0.48913999182614426,15.735864680029776,5.604563674217709e-52,1.3226770271153793e-50,0.48913999182614426,higher_in_deaths,True
Urine_last,Renal,train,6878,1122,146.24037499515018,88.66573900419526,100.0,55.0,-0.4206462089975607,-15.149801589312213,3.805913209179925e-49,8.165413794240567e-48,0.4206462089975607,higher_in_survivors,True
FiO2_count,Respiratory,train,6878,1122,7.52587961616749,10.889483065953653,7.0,13.0,0.46827917101042993,14.544358703942324,5.970375905392629e-45,1.1741739280605503e-43,0.46827917101042993,higher_in_deaths,True
BUN_first,Renal,train,6878,1122,24.211988418897597,35.91926536189003,18.0,27.0,0.5000422166262223,14.220561601959362,7.555849104124633e-43,1.3716772219795487e-41,0.5000422166262223,higher_in_deaths,True
MechVent_count,Respiratory,train,6878,1122,7.181448095376563,10.663992869875223,6.0,13.0,0.46134004299090003,14.001884800482582,6.834282618870192e-42,1.1520647843238323e-40,0.46134004299090003,higher_in_deaths,True
HCO3_last,Metabolic,train,6878,1122,24.59703300084017,22.41395212079953,25.0,22.0,-0.4806341377639555,-13.839518848005921,7.494539894599063e-41,1.1791409434169193e-39,0.4806341377639555,higher_in_survivors,True
