repeat,stress_type,model,false_explanation_rate,n_noise_in_top_k,n_injected_false_signals_in_top_k,top_k
1,Gaussian noise,Logistic Regression,0.0,0,0,20
1,Gaussian noise,Linear SVM,0.0,0,0,20
1,Gaussian noise,XGBoost,0.0,0,0,20
1,Permuted feature,Logistic Regression,0.0,0,0,20
1,Permuted feature,Linear SVM,0.0,0,0,20
1,Permuted feature,XGBoost,0.0,0,0,20
1,Spurious proxy,Logistic Regression,1.0,20,20,20
1,Spurious proxy,Linear SVM,1.0,20,20,20
1,Spurious proxy,XGBoost,1.0,20,20,20
2,Gaussian noise,Logistic Regression,0.0,0,0,20
2,Gaussian noise,Linear SVM,0.0,0,0,20
2,Gaussian noise,XGBoost,0.0,0,0,20
2,Permuted feature,Logistic Regression,0.0,0,0,20
2,Permuted feature,Linear SVM,0.0,0,0,20
2,Permuted feature,XGBoost,0.0,0,0,20
2,Spurious proxy,Logistic Regression,1.0,20,20,20
2,Spurious proxy,Linear SVM,1.0,20,20,20
2,Spurious proxy,XGBoost,1.0,20,20,20
3,Gaussian noise,Logistic Regression,0.0,0,0,20
3,Gaussian noise,Linear SVM,0.0,0,0,20
3,Gaussian noise,XGBoost,0.0,0,0,20
3,Permuted feature,Logistic Regression,0.0,0,0,20
3,Permuted feature,Linear SVM,0.0,0,0,20
3,Permuted feature,XGBoost,0.0,0,0,20
3,Spurious proxy,Logistic Regression,1.0,20,20,20
3,Spurious proxy,Linear SVM,1.0,20,20,20
3,Spurious proxy,XGBoost,1.0,20,20,20
4,Gaussian noise,Logistic Regression,0.0,0,0,20
4,Gaussian noise,Linear SVM,0.0,0,0,20
4,Gaussian noise,XGBoost,0.0,0,0,20
4,Permuted feature,Logistic Regression,0.0,0,0,20
4,Permuted feature,Linear SVM,0.0,0,0,20
4,Permuted feature,XGBoost,0.0,0,0,20
4,Spurious proxy,Logistic Regression,1.0,20,20,20
4,Spurious proxy,Linear SVM,1.0,20,20,20
4,Spurious proxy,XGBoost,1.0,20,20,20
5,Gaussian noise,Logistic Regression,0.0,0,0,20
5,Gaussian noise,Linear SVM,0.0,0,0,20
5,Gaussian noise,XGBoost,0.0,0,0,20
5,Permuted feature,Logistic Regression,0.0,0,0,20
5,Permuted feature,Linear SVM,0.0,0,0,20
5,Permuted feature,XGBoost,0.0,0,0,20
5,Spurious proxy,Logistic Regression,1.0,20,20,20
5,Spurious proxy,Linear SVM,1.0,20,20,20
5,Spurious proxy,XGBoost,1.0,20,20,20
6,Gaussian noise,Logistic Regression,0.0,0,0,20
6,Gaussian noise,Linear SVM,0.0,0,0,20
6,Gaussian noise,XGBoost,0.0,0,0,20
6,Permuted feature,Logistic Regression,0.0,0,0,20
6,Permuted feature,Linear SVM,0.0,0,0,20
6,Permuted feature,XGBoost,0.0,0,0,20
6,Spurious proxy,Logistic Regression,1.0,20,20,20
6,Spurious proxy,Linear SVM,1.0,20,20,20
6,Spurious proxy,XGBoost,1.0,20,20,20
7,Gaussian noise,Logistic Regression,0.0,0,0,20
7,Gaussian noise,Linear SVM,0.0,0,0,20
7,Gaussian noise,XGBoost,0.0,0,0,20
7,Permuted feature,Logistic Regression,0.0,0,0,20
7,Permuted feature,Linear SVM,0.0,0,0,20
7,Permuted feature,XGBoost,0.0,0,0,20
7,Spurious proxy,Logistic Regression,1.0,20,20,20
7,Spurious proxy,Linear SVM,1.0,20,20,20
7,Spurious proxy,XGBoost,1.0,20,20,20
8,Gaussian noise,Logistic Regression,0.0,0,0,20
8,Gaussian noise,Linear SVM,0.0,0,0,20
8,Gaussian noise,XGBoost,0.0,0,0,20
8,Permuted feature,Logistic Regression,0.0,0,0,20
8,Permuted feature,Linear SVM,0.0,0,0,20
8,Permuted feature,XGBoost,0.0,0,0,20
8,Spurious proxy,Logistic Regression,1.0,20,20,20
8,Spurious proxy,Linear SVM,1.0,20,20,20
8,Spurious proxy,XGBoost,1.0,20,20,20
9,Gaussian noise,Logistic Regression,0.0,0,0,20
9,Gaussian noise,Linear SVM,0.0,0,0,20
9,Gaussian noise,XGBoost,0.0,0,0,20
9,Permuted feature,Logistic Regression,0.0,0,0,20
9,Permuted feature,Linear SVM,0.0,0,0,20
9,Permuted feature,XGBoost,0.0,0,0,20
9,Spurious proxy,Logistic Regression,1.0,20,20,20
9,Spurious proxy,Linear SVM,1.0,20,20,20
9,Spurious proxy,XGBoost,1.0,20,20,20
10,Gaussian noise,Logistic Regression,0.0,0,0,20
10,Gaussian noise,Linear SVM,0.0,0,0,20
10,Gaussian noise,XGBoost,0.0,0,0,20
10,Permuted feature,Logistic Regression,0.0,0,0,20
10,Permuted feature,Linear SVM,0.0,0,0,20
10,Permuted feature,XGBoost,0.0,0,0,20
10,Spurious proxy,Logistic Regression,1.0,20,20,20
10,Spurious proxy,Linear SVM,1.0,20,20,20
10,Spurious proxy,XGBoost,1.0,20,20,20
