method,domain,count,proportion
LR coef.,Cardiovascular,3,0.15
LR coef.,Hematologic,4,0.2
LR coef.,Measurement process,4,0.2
LR coef.,Metabolic / acid-base,2,0.1
LR coef.,Neurological,2,0.1
LR coef.,Other clinical,1,0.05
LR coef.,Renal,4,0.2
SVM coef.,Cardiovascular,1,0.05
SVM coef.,Hematologic,3,0.15
SVM coef.,Measurement process,8,0.4
SVM coef.,Metabolic / acid-base,4,0.2
SVM coef.,Renal,4,0.2
XGB gain,Measurement process,2,0.1
XGB gain,Metabolic / acid-base,2,0.1
XGB gain,Neurological,4,0.2
XGB gain,Renal,6,0.3
XGB gain,Respiratory,4,0.2
XGB gain,Static / demographic,2,0.1
XGB perm.,Cardiovascular,1,0.05
XGB perm.,Hematologic,1,0.05
XGB perm.,Measurement process,3,0.15
XGB perm.,Metabolic / acid-base,2,0.1
XGB perm.,Neurological,3,0.15
XGB perm.,Renal,7,0.35
XGB perm.,Respiratory,1,0.05
XGB perm.,Static / demographic,2,0.1
