model,threshold,attribute,comparison,privileged_or_reference_group,statistical_parity_difference,disparate_impact_ratio,equal_opportunity_difference,average_odds_difference
XGBoost,0.1,Age,>65 vs <=65,<=65,0.1242876239356352,1.1697193653454168,0.009201748332183013,0.0671729119715318
XGBoost,0.1,Gender,Female vs Male,Male,0.0745550257114308,1.097481571176683,0.0029824561403508643,0.04152779043814664
XGBoost,0.1,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.4380965139210373,1.9620511386105193,0.06150681616520126,0.25240771267878853
XGBoost,0.1,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,-0.0601379744582996,0.9291525232409074,0.006302405874938355,-0.03588944211765671
XGBoost,0.1,ICUType,Other vs Medical ICU,Medical ICU,-0.20527864435621102,0.7798414539094728,-0.017006802721088454,-0.11822136579953868
XGBoost,0.1,ICUType,Other vs Surgical ICU,Surgical ICU,-0.10162560902307083,0.883217017859374,-0.004154204054503174,-0.06007322865190329
XGBoost,0.15,Age,>65 vs <=65,<=65,0.17414417097627233,1.2947534046729756,0.02104899930986892,0.09608277206486665
XGBoost,0.15,Gender,Female vs Male,Male,0.08770827071333986,1.1362719854597778,0.0094736842105263,0.04995680388510271
XGBoost,0.15,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.46338306753280595,2.4464171465131157,0.10127450189561993,0.27643340936905036
XGBoost,0.15,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,-0.04132780861910179,0.9424089333594924,-0.0014796952923767925,-0.030926526014535383
XGBoost,0.15,ICUType,Other vs Medical ICU,Medical ICU,-0.252454977311401,0.7023324346354004,-0.016936671575846884,-0.13925688822952864
XGBoost,0.15,ICUType,Other vs Surgical ICU,Surgical ICU,-0.08245329397794077,0.8887704095338708,-0.013958125623130702,-0.05198113602813559
XGBoost,0.2,Age,>65 vs <=65,<=65,0.2069317713457101,1.4250854391852223,0.03945249597423517,0.11964851576467583
XGBoost,0.2,Gender,Female vs Male,Male,0.08418564221711333,1.1507762145174667,0.008596491228070158,0.04624791447523657
XGBoost,0.2,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.45047076926230284,2.848410574343909,0.17709929821731063,0.29943219263266707
XGBoost,0.2,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,-0.014388960478999735,0.9763329119990223,-0.004904915876582483,-0.018590590005335583
XGBoost,0.2,ICUType,Other vs Medical ICU,Medical ICU,-0.27612733976176973,0.6445732277715668,-0.023599130373799015,-0.1514160680250554
XGBoost,0.2,ICUType,Other vs Surgical ICU,Surgical ICU,-0.062403790237060885,0.9025312228678287,-0.030367231638418035,-0.046385735893844815
XGBoost,0.25,Age,>65 vs <=65,<=65,0.2219203743314972,1.543045463803431,0.07016333103289618,0.13888196848687556
XGBoost,0.25,Gender,Female vs Male,Male,0.08406784893214292,1.172153646526484,0.024736842105263168,0.05190414822895634
