feature,importance
mean_state,0.09417518793846039
late_mean_state,0.06835771119806316
time_in_critical,0.06820694504102506
time_in_state_3,0.05328281170006705
time_in_state_0,0.046680956053299444
N_3_to_3,0.03431669111845408
final_state,0.033270300904720274
state_entropy,0.03251034444145646
P_3_to_3,0.030309916109741406
P_0_to_0,0.02876393437552689
late_minus_early_mean_state,0.026895330058707725
early_mean_state,0.025859401291578644
N_0_to_0,0.02508741302643654
time_in_state_1,0.020267095100065125
P_2_to_3,0.019947086100328672
P_2_to_1,0.019088228728543585
P_1_to_1,0.01796586235600088
P_2_to_2,0.01773920526404588
time_in_state_2,0.017492853328456886
P_1_to_0,0.016988117453043503
num_same_transitions,0.016302324845602335
delta_final_initial,0.01621240770391342
P_3_to_2,0.01617948749297277
same_rate,0.01597796294845284
P_0_to_1,0.01499746931458745
P_1_to_2,0.014884987165963967
N_1_to_0,0.013119602936003881
worsening_rate,0.012185201227683035
num_worsening_transitions,0.011780309481400754
N_1_to_1,0.011653963373322987
initial_state,0.011587882121421835
recovery_rate,0.011578802550546496
N_2_to_2,0.011566747394881484
P_1_to_3,0.01138910323445118
num_recovery_transitions,0.01115976389165549
N_2_to_3,0.009514270392500622
P_3_to_1,0.009227177088608221
N_0_to_1,0.007765050914273977
N_2_to_1,0.007703870199526273
P_2_to_0,0.007641302618049135
N_1_to_2,0.006975326389420703
N_3_to_2,0.006905863575276417
P_0_to_2,0.006424165327878649
max_state,0.00553599070558229
N_1_to_3,0.005234376750286569
N_3_to_1,0.0050816140961586565
ever_critical,0.004940433578911695
P_3_to_0,0.004518931104527746
P_0_to_3,0.003521349232271407
N_2_to_0,0.0035151549140056007
N_0_to_2,0.0032134062983900083
N_3_to_0,0.0027000528400193723
N_0_to_3,0.0018002567034309796
