from_state,from_label,to_state,to_label,transition_probability
0,Stable,0,Stable,0.6716248830222135
0,Stable,1,Moderate risk,0.22031226912278973
0,Stable,2,High risk,0.07260010835837069
0,Stable,3,Critical,0.035462739496626115
1,Moderate risk,0,Stable,0.25552639547794487
1,Moderate risk,1,Moderate risk,0.42787927727869185
1,Moderate risk,2,High risk,0.23771070959927323
1,Moderate risk,3,Critical,0.07888361764409003
2,High risk,0,Stable,0.09924709103353867
2,High risk,1,Moderate risk,0.2876849365555731
2,High risk,2,High risk,0.4114673827199495
2,High risk,3,Critical,0.20160058969093878
3,Critical,0,Stable,0.04048827652888567
3,Critical,1,Moderate risk,0.12527193618564178
3,Critical,2,High risk,0.3020908871162678
3,Critical,3,Critical,0.5321489001692047
